AWAY TEAM,HOME TEAM,Location / Weather,Date
Denver Broncos,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",13-Nov
Cincinnati Bengals,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",16-Nov
Arizona Cardinals,Houston Texans,"NRG Stadium, Houston, TX",19-Nov
Chicago Bears,Detroit Lions,"Ford Field, Detroit, MI",19-Nov
Dallas Cowboys,Carolina Panthers,"Bank of America Stadium, Charlotte, NC",19-Nov
Las Vegas Raiders,Miami Dolphins,"Hard Rock Stadium, Miami Gardens, FL",19-Nov
Los Angeles Chargers,Green Bay Packers,"Lambeau Field, Green Bay, WI",19-Nov
Seattle Seahawks,Los Angeles Rams,"SoFi Stadium, Inglewood, CA",19-Nov
Minnesota Vikings,Denver Broncos,"Empower Field at Mile High, Denver, CO",19-Nov
New York Giants,Washington Commanders,"FedExField, Landover, MD",19-Nov
New York Jets,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",19-Nov
Pittsburgh Steelers,Cleveland Browns,"Cleveland Browns Stadium, Cleveland, OH",19-Nov
Tampa Bay Buccaneers,San Francisco 49ers,"Levi's Stadium, Santa Clara, CA",19-Nov
Tennessee Titans,Jacksonville Jaguars,"TIAA Bank Field, Jacksonville, FL",19-Nov
Philadelphia Eagles,Kansas City Chiefs,"GEHA Field at Arrowhead Stadium, Kansas City, MO",20-Nov
Green Bay Packers,Detroit Lions,"Ford Field, Detroit, MI",23-Nov
San Francisco 49ers,Seattle Seahawks,"Lumen Field, Seattle, WA",23-Nov
Washington Commanders,Dallas Cowboys,"AT&T Stadium, Arlington, TX",23-Nov
Miami Dolphins,New York Jets,"MetLife Stadium, East Rutherford, NJ",24-Nov
Buffalo Bills,Philadelphia Eagles,"Lincoln Financial Field, Philadelphia, PA",26-Nov
Carolina Panthers,Tennessee Titans,"Nissan Stadium, Nashville, TN",26-Nov
Cleveland Browns,Denver Broncos,"Empower Field at Mile High, Denver, CO",26-Nov
Jacksonville Jaguars,Houston Texans,"NRG Stadium, Houston, TX",26-Nov
Kansas City Chiefs,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",26-Nov
Los Angeles Rams,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",26-Nov
New England Patriots,New York Giants,"MetLife Stadium, East Rutherford, NJ",26-Nov
New Orleans Saints,Atlanta Falcons,"Mercedes-Benz Stadium, Atlanta, GA",26-Nov
